region;ind1;ind2;ind3;ind4;ind5;ind6;ind7;ind8;ind9;ind10;ind11;ind12
Волгоградская область;0.488997573416065;615113.438189846;3.31199889974969;8.1706435285611;14.7252747252747;0.302788764732127;0.030078354112463;0.93;6.77303749507909;2.31551781390745;9.33676843267108;0.409875905590057
Ростовская область;3.02159079639936;542211.786839342;10.3383281726751;26.4367816091954;47.2847682119205;0.552371626040349;0.0584369352365052;0.87;3.4214851941549;3.1225087861843;15.5162820353518;2.22824800922402
г. Севастополь;2.76187774122836;778930.140597539;3.83072467152364;7.75862068965517;16.3265306122449;0.448458767802394;0.117828797515743;0.94;;2.55958991574751;;
Республика Дагестан;0.766020337551086;504287.432117921;3.54775829488124;3.1496062992126;9.34959349593496;0.102962097327538;0.0384210774356447;0.22;4.63141527837653;1.66311169974943;3.89308037238169;0.118637739229322
Республика Ингушетия;0.0231419029176629;398837.341772152;0.538387403775619;1.11524163568773;12;0.0801684552350509;0.0258771596011873;0;;1.49496502302037;;
Кабардино-Балкарская Республика;0.275352522963878;533029.615004936;0.447994416909137;3.80761523046092;19.1011235955056;0.250635247777561;0.0786791794602806;0.97;1.62698497216205;1.74950016651896;0.310686673247779;0.0747272877580616
Карачаево-Черкесская Республика;0.00503867506731267;609394.336569579;0.444168919628919;4.28571428571429;17.3913043478261;0.315824977769601;0.0766565480023304;0.13;;2.25334385732875;0.456949352750809;
Республика Северная Осетия - Алания;0.127692064948116;600805.185185185;0.853139092275352;2.90322580645161;8.04597701149425;0.192374831672022;0.0527249538656654;1.02;;2.9329351310993;0.938387592592593;
Чеченская Республика ;0.15514646947401;670895.170454545;0.0840439023683875;1.985559566787;8.13953488372093;0.0606834821975006;0.0198255694679334;0.15;;2.32665269380132;;0.0533071105558899
Ставропольский край;0.93044889675774;535720.072260136;11.026446961713;6.79304897314376;11.1111111111111;0.188784202453058;0.0832893771561263;0.68;11.8506744434175;2.2392761188182;32.1845293054998;0.563750276972912
Республика Башкортостан;1.0303275622283;882969.040981322;5.10754546871318;14.7830744509909;22.7340267459138;0.387497873190862;0.0685440202229166;1.06;4.95720551012636;2.42456440149733;17.8669466685252;1.15295906814399
Республика Марий Эл;1.05807762053862;581548.275862069;6.93886028534582;11.5942028985507;23.3576642335766;0.0559339850392663;0.0138227664177497;0.75;6.55798794970598;2.54294594979357;86.6144977011494;0.877162120485754
